Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Instagram,Twitter,Facebook,ВКонтакте,WhatsApp 1,WhatsApp 2,WhatsApp 3,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
Lotus,студия воздушной йоги и фитнеса,Фитнес-клубы; Центры йоги; Обучение танцам; Спортивные секции,"улица Самен батыра, 106",2 этаж,040700,Куат м-н,,,Илийский район,Алматинская область,Казахстан,"Пн: 09:00-13:00, 17:00-21:00; Вт: 09:00-13:00, 17:00-21:00; Ср: 09:00-13:00, 17:00-21:00; Чт: 09:00-13:00, 17:00-21:00; Пт: 09:00-13:00, 17:00-21:00; Сб: 09:00-13:00, 17:00-21:00 (по предварительной записи)",+05:00,5.0,17,87758886646,,,,,,https://instagram.com/lotusgres,,,,https://wa.me/77758886646,,,,,,,43.407252,77.01952,https://2gis.com/firm/70000001063852396,branch
Арыстан,фитнес-клуб,Фитнес-клубы; Тренажёрные залы; Спортивные секции,"улица Кунаева, 7а/3",,,18-й м-н,,Конаев,Конаев городская администрация,Алматинская область,Казахстан,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 14:00-22:00,+05:00,4.6,53,87478385328,,,,,,https://instagram.com/arystan_gym,,,,https://wa.me/77478385328,,,,,,,43.857832,77.063615,https://2gis.com/firm/70000001063267244,branch
Medical Sport Center,тренажерный зал и центр кинезиотерапии,Фитнес-клубы,"улица Кенесары хана, 54/44",,050070,Каргалы м-н,Наурызбайский район,Алматы,,Алматы,Казахстан,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-15:00 (по предварительной записи),+05:00,,,87478741883,,,,,,https://instagram.com/medical_sport_center,,,,https://wa.me/77478741883,,,,,,,43.169642,76.873397,https://2gis.com/firm/70000001083509549,branch
Eyva,,Фитнес-клубы,"проспект Гагарина, 277/7",,050060,,Бостандыкский район,Алматы,,Алматы,Казахстан,,+05:00,,,,,,,,,,,,,,,,,,,,43.207647,76.898059,https://2gis.com/firm/70000001090079430,branch
Фитнес-клуб,,Фитнес-клубы; БАДы; Диетические / соевые продукты; Обучение танцам,"12-й микрорайон, 20в",,050036,12-й м-н,Ауэзовский район,Алматы,,Алматы,Казахстан,Пн: 06:00-21:00; Вт: 06:00-21:00; Ср: 06:00-21:00; Чт: 06:00-21:00; Пт: 06:00-21:00; Сб: 06:00-21:00,+05:00,,,,,,,,,https://instagram.com/abzal_hero,,,,https://wa.me/77476617641,,,,,,,43.221048,76.865367,https://2gis.com/firm/70000001089722190,branch
Алтын Ауыл,спортивный комплекс,Фитнес-клубы; Спортивные секции; Аренда спортивных площадок; Тренажёрные залы,"микрорайон Алтын ауыл, 24",1 этаж,,,,Каскелен,Карасайский район,Алматинская область,Казахстан,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+05:00,2.2,9,87715520780,87715520781,87715520782,,,,https://instagram.com/sc_altyn_auyl,,,,https://wa.me/77715520780,https://wa.me/77715520782,https://wa.me/77715520781,,,,,43.200683,76.662148,https://2gis.com/firm/70000001043833757,branch
Крепкий Орех,,Фитнес-клубы,"4-й микрорайон, 30/1",цокольный этаж,,4-й м-н,,Конаев,Конаев городская администрация,Алматинская область,Казахстан,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 09:00-21:00; Вс: 15:00-21:00,+05:00,5.0,18,87475559385,,,,,,,,,,https://wa.me/77475559385,,,,,,,43.850857,77.054615,https://2gis.com/firm/70000001040693455,branch
Avantgarde,фитнес-клуб,Фитнес-клубы; Тренажёрные залы,"улица Абая, 78",,,,,Есик,Енбекшиказахский район,Алматинская область,Казахстан,Пн: 07:00-23:00; Вт: 09:00-23:00; Ср: 07:00-23:00; Чт: 09:00-23:00; Пт: 07:00-23:00; Сб: 09:00-23:00; Вс: 17:00-22:00,+05:00,3.0,2,87024677040,87079847464,,,,,https://instagram.com/avantgarde_gym_navoi,,,,https://wa.me/77024677040,,,,,,,43.34881,77.470702,https://2gis.com/firm/70000001056397409,branch
genesis,тренажерный зал,Фитнес-клубы; Тренажёрные залы,"улица Бабаева, 11а",,,,,,Карасайский район,Алматинская область,Казахстан,Пн: 14:00-22:30; Вт: 14:00-22:30; Ср: 14:00-22:30; Чт: 14:00-22:30; Пт: 14:00-22:30; Сб: 14:00-22:30,+05:00,5.0,3,,,,,,,https://instagram.com/genesis_bereke,,,,https://wa.me/77022280683,,,,,,,43.367239,76.712236,https://2gis.com/firm/70000001045245217,branch
Body Balance,студия йоги ,Фитнес-клубы; Центры йоги; Спортивные секции,"улица Макашева, 84",2 этаж,,,,Каскелен,Карасайский район,Алматинская область,Казахстан,Пн: 07:30-20:00; Вт: 07:30-20:00; Ср: 07:30-20:00; Чт: 07:30-20:00; Пт: 07:30-20:00; Сб: 07:30-20:00 (по предварительной записи),+05:00,5.0,4,87478678530,,,,,,https://instagram.com/bodybalance_kz,,,,https://wa.me/77478678530,,,,,,,43.198635,76.614648,https://2gis.com/firm/70000001088943069,branch
Purpur Vibe,студия растяжки и фитнеса,Фитнес-клубы; Обучение танцам; Центры йоги,"улица Торайгырова, 51",,050043,,Бостандыкский район,Алматы,,Алматы,Казахстан,"Пн: 07:00-14:00, 15:30-21:00; Вт: 07:00-14:00, 15:30-21:00; Ср: 07:00-14:00, 15:30-21:00; Чт: 07:00-14:00, 15:30-21:00; Пт: 07:00-14:00, 15:30-21:00; Сб: 08:00-14:00, 15:30-21:00; Вс: 08:00-14:00, 15:30-21:00",+05:00,,,87711191313,87056130918,,,,,https://instagram.com/purpurvibe,,,,https://wa.me/77711191313,,,,,,,43.201915,76.869578,https://2gis.com/firm/70000001090405545,branch
Студия коррекции фигуры,,Фитнес-клубы; Массажист,"проспект Абылай хана, 102а",,,,,Каскелен,Карасайский район,Алматинская область,Казахстан,Пн: 09:00-21:00; Вт: 09:00-21:00; Ср: 09:00-21:00; Чт: 09:00-21:00; Пт: 09:00-21:00; Сб: 09:00-21:00 (по предварительной записи),+05:00,,,87022632218,,,,,,https://instagram.com/korrektsiya.figury.kaskelen,,,,https://wa.me/77022632218,,,,,,,43.204112,76.616134,https://2gis.com/firm/70000001087732050,branch
Алға,развивающий центр,Фитнес-клубы; Спортивно-интеллектуальные клубы; Обучение танцам; Детские / подростковые клубы; Спортивные секции,"улица Байтурсынова, 11а",,040923,,,,Карасайский район,Алматинская область,Казахстан,Пн: 09:00-18:00; Вт: 09:00-18:00; Ср: 09:00-18:00; Чт: 09:00-18:00; Пт: 09:00-18:00; Сб: 09:00-18:00,+05:00,5.0,13,87026008865,87074955961 (единый номер),,,,,https://instagram.com/alga_school,,,,,,,,,,,43.197038,76.751442,https://2gis.com/firm/70000001082712522,branch
Felicita,клуб здорового образа жизни,Фитнес-клубы; Диетолог,"улица Асыл Арман, 13",,040916,,,,Карасайский район,Алматинская область,Казахстан,Пн: 05:00-21:00; Вт: 05:00-21:00; Ср: 05:00-21:00; Чт: 05:00-21:00; Пт: 05:00-21:00; Сб: 05:00-21:00; Вс: 05:00-21:00 (по предварительной записи),+05:00,,,87015404494,,,,,,https://instagram.com/gulmira_pitanie,,,,https://wa.me/77015404494,,,,,,,43.230214,76.750563,https://2gis.com/firm/70000001063710615,branch
Olympia,фитнес-клуб,Фитнес-клубы; Спортивное питание,"улица Толе би, 1",,,,,Каскелен,Карасайский район,Алматинская область,Казахстан,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00,+05:00,5.0,1,87070185394,,,,,,https://instagram.com/olympia.kaskelen,,,,https://wa.me/77070185394,,,,,,,43.20007,76.628142,https://2gis.com/firm/70000001055718909,branch
Herbalife,клуб здорового образа жизни,Фитнес-клубы; БАДы,"улица Наурызбай батыра, 21в",,,,,Каскелен,Карасайский район,Алматинская область,Казахстан,Пн: 07:00-12:00; Вт: 07:00-12:00; Ср: 07:00-12:00; Чт: 07:00-12:00; Пт: 07:00-12:00; Сб: 07:00-12:00; Вс: 07:00-12:00 (по предварительной записи),+05:00,5.0,1,87057501933,,,,,,https://instagram.com/hlf_kaskelen,,,,https://wa.me/77057501933,,,,,,,43.206434,76.637402,https://2gis.com/firm/70000001080496456,branch
Arean,фитнес-клуб,Фитнес-клубы; Тренажёрные залы; Обучение танцам,"улица Рыскулова, 72",цокольный этаж,,,,Талгар,Талгарский район,Алматинская область,Казахстан,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00,+05:00,2.6,5,87277421075,87714918204,,,,,https://instagram.com/arean._fitness,,,,https://wa.me/77714918204,https://wa.me/77714918201,,,,,,43.305404,77.239711,https://2gis.com/firm/70000001045343841,branch
5 Утра,онлайн-клуб здорового образа жизни,Фитнес-клубы; БАДы,"улица Капал батыра, 22",,040700,Куат м-н,,,Илийский район,Алматинская область,Казахстан,Пн: 06:00-20:00; Вт: 06:00-20:00; Ср: 06:00-20:00; Чт: 06:00-20:00; Пт: 06:00-20:00; Сб: 06:00-20:00; Вс: 06:00-20:00,+05:00,,,87770440448,,,,,,https://instagram.com/zhadyra_toktarkhanovna,,,,https://wa.me/77770440448,,,,,,,43.412569,77.021073,https://2gis.com/firm/70000001075759572,branch
Muse,женская фитнес студия,Фитнес-клубы,"улица Рыскулова, 107",404 офис; 4 этаж,,,,Талгар,Талгарский район,Алматинская область,Казахстан,Пн: 08:00-24:00; Вт: 08:00-24:00; Ср: 08:00-24:00; Чт: 08:00-24:00; Пт: 08:00-24:00; Сб: 08:00-24:00; Вс: 08:00-24:00,+05:00,,,87753197575,,,,,,https://instagram.com/muse_studio_talgar,,,,https://wa.me/77753197575,,,,,,,43.307703,77.240306,https://2gis.com/firm/70000001070138601,branch
Йога Дом,студия йоги,Фитнес-клубы; Центры йоги; Аренда спортивных площадок; Спортивные секции,"улица Абая, 19",2 этаж,,2 м-н,,Конаев,Конаев городская администрация,Алматинская область,Казахстан,"Пн: 08:00-13:00, 15:00-21:00; Вт: 08:00-13:00, 15:00-21:00; Ср: 08:00-13:00, 15:00-21:00; Чт: 08:00-13:00, 15:00-21:00; Пт: 08:00-13:00, 15:00-21:00; Сб: 08:00-13:00, 15:00-21:00",+05:00,3.7,3,87013303012,87076700002,,,,,https://instagram.com/yoga_dom_konaev,,,,https://wa.me/77013303012,,,,,,,43.858881,77.056756,https://2gis.com/firm/70000001048412289,branch
Galaktica,школа воздушно-спортивной атлетики,Фитнес-клубы; Спортивные секции,"улица Абая, 19",2 этаж,,2 м-н,,Конаев,Конаев городская администрация,Алматинская область,Казахстан,Пн: 09:00-19:00; Вт: 08:30-19:00; Ср: 09:00-19:00; Чт: 08:30-19:00; Пт: 09:00-19:00,+05:00,,,87014174202,87082455950,87716077918,,,,https://instagram.com/galaxy_kapchagai,,,,https://wa.me/77014174202,https://wa.me/77082455950,https://wa.me/77716077918,,,,,43.858881,77.056756,https://2gis.com/firm/70000001065035255,branch
Fitniss studio,фитнес-центр,Фитнес-клубы,"улица Бижанова, 36а",,,,,,Енбекшиказахский район,Алматинская область,Казахстан,Пн: 08:30-20:15; Вт: 12:00-20:15; Ср: 08:30-20:15; Чт: 12:00-20:15; Пт: 08:30-20:15; Сб: 12:00-20:15,+05:00,5.0,15,87017939973,,,,,,,,,,https://wa.me/77017939973,,,,,,,43.596325,78.252078,https://2gis.com/firm/70000001083500880,branch
Corpus,студия спорта и танцев,Фитнес-клубы; Обучение танцам; Модельные агентства,"улица Н. Алдабергенова, 119",1 этаж,,,,Талдыкорган,Талдыкорган городская администрация,Жетысу область,Казахстан,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 07:00-22:00,+05:00,,,87713526283,,,,,,https://instagram.com/corpus_by_ak,,,,https://wa.me/77716932280,https://wa.me/77713526283,,,,,,45.016744,78.354631,https://2gis.com/firm/70000001080355120,branch
Legion Fitness,спортивный клуб,Фитнес-клубы; Тренажёрные залы,"микрорайон Жетысу, 25/1",,,Жетысу м-н,,Талдыкорган,Талдыкорган городская администрация,Жетысу область,Казахстан,Пн: 07:00-24:00; Вт: 07:00-24:00; Ср: 07:00-24:00; Чт: 07:00-24:00; Пт: 07:00-24:00; Сб: 07:00-24:00; Вс: 07:00-24:00,+05:00,5.0,2,,,,,,,https://instagram.com/legion_fitness_tdk,,,,,,,,,,,45.014477,78.344946,https://2gis.com/firm/70000001080430712,branch
